Family_Class,Family,Class,Transect,Count,Date,Site,Depth,Data recorded by
Snappers 0-20cm,Snappers,0-20cm,Transect_1,10,June 11 2024,Test Site 2,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_2,3,June 11 2024,Test Site 2,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_3,0,June 11 2024,Test Site 2,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_4,0,June 11 2024,Test Site 2,30 m,Chantale
Snappers 0-20cm,Snappers,0-20cm,Transect_5,0,June 11 2024,Test Site 2,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_1,1,June 11 2024,Test Site 2,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_2,4,June 11 2024,Test Site 2,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_3,4,June 11 2024,Test Site 2,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_4,2,June 11 2024,Test Site 2,30 m,Chantale
Snappers 20-40cm,Snappers,20-40cm,Transect_5,1,June 11 2024,Test Site 2,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_1,3,June 11 2024,Test Site 2,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_2,0,June 11 2024,Test Site 2,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_3,6,June 11 2024,Test Site 2,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_4,1,June 11 2024,Test Site 2,30 m,Chantale
Snappers 40-60cm,Snappers,40-60cm,Transect_5,4,June 11 2024,Test Site 2,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_1,1,June 11 2024,Test Site 2,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_2,0,June 11 2024,Test Site 2,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_3,8,June 11 2024,Test Site 2,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_4,2,June 11 2024,Test Site 2,30 m,Chantale
Snappers 60-80cm,Snappers,60-80cm,Transect_5,2,June 11 2024,Test Site 2,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_1,6,June 11 2024,Test Site 2,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_2,1,June 11 2024,Test Site 2,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_3,0,June 11 2024,Test Site 2,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_4,8,June 11 2024,Test Site 2,30 m,Chantale
Groupers 0-20cm,Groupers,0-20cm,Transect_5,5,June 11 2024,Test Site 2,30 m,Chantale
Groupers 20-40cm,Groupers,20-40cm,Transect_1,3,June 11 2024,Test Site 2,30 m,Chantale
Groupers 20-40cm,Groupers,20-40cm,Transect_2,2,June 11 2024,Test Site 2,30 m,Chantale
